grid_id,name,wikipedia_url,email_address,established
grid.5509.9,University of Tampere,http://en.wikipedia.org/wiki/University_of_Tampere,,1925
grid.5510.1,University of Oslo,http://en.wikipedia.org/wiki/University_of_Oslo,"",1811
grid.5515.4,Autonomous University of Madrid,http://en.wikipedia.org/wiki/Autonomous_University_of_Madrid,,1968
grid.5522.0,Jagiellonian University,http://en.wikipedia.org/wiki/Jagiellonian_University,"",1364
grid.5560.6,Carl von Ossietzky University of Oldenburg,http://en.wikipedia.org/wiki/University_of_Oldenburg,"",1973
grid.5570.7,Ruhr University Bochum,http://en.wikipedia.org/wiki/Ruhr_University_Bochum,,1962
grid.5571.6,University of Pau and Pays de l'Adour,http://en.wikipedia.org/wiki/University_of_Pau_and_Pays_de_l'Adour,,1972
grid.5583.b,Atomic Energy and Alternative Energies Commission,https://en.wikipedia.org/wiki/Commissariat_%C3%A0_l%27%C3%A9nergie_atomique_et_aux_%C3%A9nergies_alternatives,,1945
grid.5586.e,Federal Ministry of Education and Research,https://en.wikipedia.org/wiki/Federal_Ministry_of_Education_and_Research_(Germany),,1955
grid.5590.9,Radboud University Nijmegen,http://en.wikipedia.org/wiki/Radboud_University_Nijmegen,,1923
grid.5591.8,Eötvös Loránd University,http://en.wikipedia.org/wiki/E%C3%B6tv%C3%B6s_Lor%C3%A1nd_University,,1635
grid.5595.c,Saab (Sweden),,,
grid.5596.f,University of Leuven,http://en.wikipedia.org/wiki/Katholieke_Universiteit_Leuven,"",1425
grid.5600.3,Cardiff University,http://en.wikipedia.org/wiki/Cardiff_University,"",1883
grid.5601.2,University of Mannheim,http://en.wikipedia.org/wiki/University_of_Mannheim,"",1763
grid.5602.1,University of Camerino,http://en.wikipedia.org/wiki/University_of_Camerino,,1336
grid.5603.0,University of Greifswald,http://en.wikipedia.org/wiki/University_of_Greifswald,"",1456
grid.5606.5,University of Genoa,http://en.wikipedia.org/wiki/University_of_Genoa,,1481
grid.5607.4,École Normale Supérieure,http://en.wikipedia.org/wiki/%C3%89cole_Normale_Sup%C3%A9rieure,,1794
grid.5608.b,University of Padua,http://en.wikipedia.org/wiki/University_of_Padua,"",1222
grid.5611.3,University of Verona,http://en.wikipedia.org/wiki/University_of_Verona,"",1982
grid.5612.0,Pompeu Fabra University,http://en.wikipedia.org/wiki/Pompeu_Fabra_University,,1990
grid.5613.1,University of Burgundy,http://en.wikipedia.org/wiki/University_of_Burgundy,"",1722
