country_name,country_iso,region_iso,region_name,country_centroid,region_centroid
United Kingdom,GBR,EUR,Europe,"{""type"":""Point"",""coordinates"":[-2.88695131080169,54.1470482040108]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
United Republic of Tanzania,TZA,AFR,Africa,"{""type"":""Point"",""coordinates"":[34.8135875160795,-6.27509342811819]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
United States of America,USA,AMR,America,"{""type"":""Point"",""coordinates"":[-112.495732186554,45.6881180796569]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
United States Virgin Islands,VIR,,,"{""type"":""Point"",""coordinates"":[-64.7976673215196,17.9805975931462]}",
Uruguay,URY,AMR,America,"{""type"":""Point"",""coordinates"":[-56.0171559188991,-32.798209455369]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Uzbekistan,UZB,EUR,Europe,"{""type"":""Point"",""coordinates"":[63.139918345669,41.7560406700067]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Vanuatu,VUT,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[167.700844140659,-16.2012679188912]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Vatican,VAT,,,"{""type"":""Point"",""coordinates"":[12.4534373478692,41.9033075947968]}",
Venezuela,VEN,AMR,America,"{""type"":""Point"",""coordinates"":[-66.1688392318983,7.12773003289506]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Vietnam,VNM,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[106.300935134271,16.642181476249]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Wallis and Futuna,WLF,,,"{""type"":""Point"",""coordinates"":[-177.230553931752,-13.8473302658775]}",
Western Sahara,SAH,,,"{""type"":""Point"",""coordinates"":[-12.2149650481799,24.232574966763]}",
Yemen,YEM,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[47.5906054666168,15.9054180307991]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Zambia,ZMB,AFR,Africa,"{""type"":""Point"",""coordinates"":[27.7742099821541,-13.4601127227362]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Zimbabwe,ZWE,AFR,Africa,"{""type"":""Point"",""coordinates"":[29.8518833922768,-19.0025356619696]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
